room_id,room_name,room_type,capacity,current_occupancy,special_note,last_updated
R378,Ruang Teratai 12,ICU,1,1,Pasien kritis; 1 bed,2024-12-05
R379,Ruang Seroja 2,Isolasi,1,0,Tekanan negatif,2025-05-22
R380,Ruang Canna 7,Radiologi,4,1,,2024-07-25
R381,Ruang Lavender 8,Rawat Inap,4,1,,2024-02-08
R382,Ruang Kertas 12,Isolasi,1,1,PPE wajib,2025-04-29
R383,Ruang Kamboja 3,Radiologi,4,3,,2024-02-19
R384,Ruang Jasmine 10,Laboratorium,2,0,,2024-04-20
R385,Ruang Kamboja 11,ICU,1,0,Pasien kritis; 1 bed,2024-06-08
R386,Ruang Peony 7,Poli Gigi,10,8,,2024-12-27
R387,Ruang Jasmine 10,Poli Gigi,10,0,,2024-06-24
R388,Ruang Seruni 5,Isolasi,1,0,PPE wajib,2024-06-18
R389,Ruang Kenikir 11,Bersalin,6,0,,2024-09-30
R390,Ruang Melati 4,Poli Anak,10,1,,2025-02-26
R391,Ruang Melati 9,Bersalin,2,0,,2025-01-03
R392,Ruang Anggrek 9,ICU,1,0,Pasien kritis; 1 bed,2024-08-05
R393,Ruang Kenikir 11,Poli Anak,10,7,,2025-04-17
R394,Ruang Seruni 10,Poli Anak,10,8,,2025-09-07
R395,Ruang Begonia 10,Radiologi,8,6,,2025-04-17
R396,Ruang Kertas 2,Rawat Inap,4,1,,2024-10-10
R397,Ruang Pucuk Merah 4,NICU,1,0,Pasien kritis; 1 bed,2024-11-08
R398,Ruang Camellia 10,Isolasi,1,1,Tekanan negatif,2025-02-09
R399,Ruang Jasmine 3,Laboratorium,2,1,,2023-12-27
R400,Ruang Dahlia 4,Poli Anak,10,7,,2024-02-22
